iter	Passed	Remaining
0	56	56776
1	57	28484
2	57	19043
3	57	14333
4	57	11498
5	58	9609
6	58	8260
7	58	7246
8	58	6459
9	58	5829
10	59	5314
11	59	4884
12	59	4520
13	59	4208
14	59	3938
15	60	3701
16	60	3492
17	60	3307
18	60	3141
19	61	2994
20	61	2860
21	61	2736
22	61	2623
23	61	2520
24	62	2424
25	62	2338
26	62	2257
27	62	2181
28	63	2110
29	63	2044
30	63	1982
31	63	1925
32	63	1871
33	64	1819
34	64	1771
35	64	1726
36	64	1683
37	64	1643
38	65	1605
39	65	1568
40	65	1536
41	65	1502
42	66	1471
43	66	1442
44	66	1416
45	66	1388
46	67	1361
47	67	1335
48	67	1311
49	67	1288
50	67	1265
51	68	1243
52	68	1221
53	68	1201
54	68	1182
55	69	1163
56	69	1145
57	69	1127
58	69	1110
59	69	1095
60	70	1078
61	70	1063
62	70	1049
63	70	1035
64	71	1022
65	71	1008
66	71	995
67	71	982
68	71	969
69	72	957
70	72	945
71	72	934
72	72	923
73	72	912
74	73	901
75	73	891
76	73	881
77	73	871
78	73	861
79	74	851
80	74	842
81	74	833
82	74	823
83	74	815
84	74	806
85	75	798
86	75	790
87	75	783
88	75	776
89	76	768
90	76	761
91	76	754
92	76	747
93	76	740
94	77	733
95	77	727
96	77	720
97	77	714
98	77	708
99	78	702
100	78	696
101	78	690
102	78	684
103	78	679
104	78	673
105	79	667
106	79	662
107	79	657
108	79	652
109	79	647
110	80	642
111	80	637
112	80	632
113	80	627
114	80	623
115	81	618
116	81	613
117	81	609
118	81	604
119	81	600
120	82	596
121	82	591
122	82	587
123	82	583
124	82	579
125	82	575
126	83	571
127	83	567
128	83	563
129	83	560
130	83	556
131	84	552
132	84	549
133	84	546
134	84	542
135	84	539
136	85	536
137	85	532
138	85	529
139	85	526
140	85	523
141	86	519
142	86	516
143	86	513
144	86	511
145	86	508
146	87	505
147	87	503
148	87	500
149	87	497
150	87	494
151	88	491
152	88	488
153	88	486
154	88	483
155	88	481
156	89	478
157	89	475
158	89	473
159	89	471
160	89	468
161	90	465
162	90	463
163	90	461
164	90	459
165	91	457
166	91	455
167	91	452
168	91	450
169	91	448
170	92	446
171	92	443
172	92	441
173	92	439
174	92	437
175	93	435
176	93	433
177	93	431
178	93	429
179	93	427
180	94	425
181	94	423
182	94	421
183	94	419
184	94	417
185	95	415
186	95	413
187	95	412
188	95	410
189	95	408
190	95	406
191	96	404
192	96	402
193	96	401
194	96	399
195	96	397
196	97	395
197	97	394
198	97	392
199	97	390
200	97	389
201	98	387
202	98	386
203	98	384
204	98	382
205	98	381
206	99	379
207	99	378
208	99	376
209	99	375
210	99	373
211	100	372
212	100	370
213	100	369
214	100	367
215	100	366
216	101	364
217	101	363
218	101	361
219	101	360
220	101	359
221	102	357
222	102	356
223	102	354
224	102	353
225	102	352
226	103	350
227	103	349
228	103	348
229	103	347
230	103	345
231	104	344
232	104	343
233	104	341
234	104	340
235	104	339
236	105	338
237	105	337
238	105	335
239	105	334
240	105	333
241	106	332
242	106	331
243	106	330
244	106	329
245	106	327
246	107	326
247	107	325
248	107	324
249	107	323
250	107	322
251	108	321
252	108	320
253	108	318
254	108	317
255	108	316
256	109	315
257	109	314
258	109	313
259	109	312
260	109	311
261	110	310
262	110	309
263	110	308
264	110	307
265	110	306
266	111	305
267	111	304
268	111	302
269	111	301
270	111	300
271	112	299
272	112	298
273	112	297
274	112	296
275	112	296
276	113	295
277	113	294
278	113	293
279	113	292
280	113	291
281	114	290
282	114	289
283	114	288
284	114	287
285	114	286
286	115	285
287	115	284
288	115	284
289	115	283
290	115	282
291	116	281
292	116	280
293	116	279
294	116	278
295	116	277
296	117	277
297	117	276
298	117	275
299	117	274
300	117	273
301	118	272
302	118	272
303	118	271
304	118	270
305	118	269
306	119	268
307	119	267
308	119	267
309	119	266
310	119	265
311	120	264
312	120	263
313	120	263
314	120	262
315	120	261
316	121	260
317	121	259
318	121	259
319	121	258
320	121	257
321	121	256
322	122	256
323	122	255
324	122	254
325	122	253
326	123	253
327	123	252
328	123	251
329	123	250
330	123	250
331	123	249
332	124	248
333	124	247
334	124	247
335	124	246
336	124	245
337	125	245
338	125	244
339	125	243
340	125	242
341	125	242
342	126	241
343	126	240
344	126	240
345	126	239
346	126	238
347	127	238
348	127	237
349	127	236
350	127	236
351	127	235
352	127	234
353	128	233
354	128	233
355	128	232
356	128	231
357	128	231
358	129	230
359	129	230
360	129	229
361	129	228
362	129	228
363	130	227
364	130	226
365	130	226
366	130	225
367	130	224
368	131	224
369	131	223
370	131	223
371	131	222
372	132	221
373	132	221
374	132	220
375	132	220
376	132	219
377	132	218
378	133	218
379	133	217
380	133	217
381	133	216
382	134	215
383	134	215
384	134	214
385	134	214
386	134	213
387	134	212
388	135	212
389	135	211
390	135	211
391	135	210
392	135	210
393	136	209
394	136	208
395	136	208
396	136	207
397	136	207
398	137	206
399	137	206
400	137	205
401	137	204
402	137	204
403	138	203
404	138	203
405	138	202
406	138	202
407	138	201
408	139	201
409	139	200
410	139	199
411	139	199
412	139	198
413	140	198
414	140	197
415	140	197
416	140	196
417	140	196
418	141	195
419	141	195
420	141	194
421	141	194
422	141	193
423	142	193
424	142	192
425	142	192
426	142	191
427	143	191
428	143	190
429	143	190
430	143	189
431	143	189
432	144	188
433	144	188
434	144	187
435	144	187
436	144	186
437	145	186
438	145	185
439	145	185
440	145	184
441	145	184
442	146	183
443	146	183
444	146	182
445	146	182
446	146	181
447	147	181
448	147	180
449	147	180
450	147	179
451	147	179
452	148	178
453	148	178
454	148	177
455	148	177
456	148	176
457	149	176
458	149	175
459	149	175
460	149	174
461	149	174
462	149	173
463	150	173
464	150	173
465	150	172
466	150	172
467	150	171
468	151	171
469	151	170
470	151	170
471	151	169
472	151	169
473	152	168
474	152	168
475	152	167
476	152	167
477	152	167
478	153	166
479	153	166
480	153	165
481	153	165
482	154	164
483	154	164
484	154	163
485	154	163
486	154	163
487	154	162
488	155	162
489	155	161
490	155	161
491	155	160
492	155	160
493	156	159
494	156	159
495	156	159
496	156	158
497	156	158
498	157	157
499	157	157
500	157	156
501	157	156
502	157	155
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	159	153
509	159	152
510	159	152
511	159	152
512	159	151
513	159	151
514	160	150
515	160	150
516	160	149
517	160	149
518	160	149
519	161	148
520	161	148
521	161	147
522	161	147
523	161	147
524	162	146
525	162	146
526	162	145
527	162	145
528	162	145
529	163	144
530	163	144
531	163	143
532	163	143
533	163	143
534	164	142
535	164	142
536	164	141
537	164	141
538	164	141
539	165	140
540	165	140
541	165	139
542	165	139
543	165	139
544	166	138
545	166	138
546	166	137
547	166	137
548	166	137
549	166	136
550	167	136
551	167	135
552	167	135
553	167	135
554	167	134
555	168	134
556	168	133
557	168	133
558	168	133
