iter	Passed	Remaining
0	57	57160
1	57	28679
2	57	19173
3	57	14420
4	58	11565
5	58	9663
6	58	8305
7	58	7285
8	58	6493
9	59	5861
10	59	5344
11	59	4913
12	59	4546
13	60	4234
14	60	3963
15	60	3725
16	60	3515
17	61	3328
18	61	3160
19	61	3010
20	61	2877
21	61	2753
22	62	2639
23	62	2535
24	62	2439
25	62	2351
26	62	2269
27	63	2192
28	63	2121
29	63	2055
30	63	1993
31	63	1935
32	64	1880
33	64	1829
34	64	1781
35	64	1735
36	65	1692
37	65	1652
38	65	1613
39	65	1576
40	65	1541
41	66	1508
42	66	1477
43	66	1447
44	66	1418
45	67	1390
46	67	1363
47	67	1338
48	67	1313
49	67	1289
50	68	1267
51	68	1245
52	68	1223
53	68	1203
54	68	1183
55	69	1164
56	69	1146
57	69	1128
58	69	1111
59	69	1095
60	70	1079
61	70	1063
62	70	1048
63	70	1034
64	71	1021
65	71	1009
66	71	996
67	71	982
68	71	970
69	72	958
70	72	947
71	72	935
72	72	924
73	72	912
74	73	902
75	73	891
76	73	881
77	73	871
78	73	861
79	74	852
80	74	843
81	74	834
82	74	824
83	74	815
84	74	807
85	75	798
86	75	791
87	75	783
88	75	776
89	76	768
90	76	761
91	76	754
92	76	747
93	76	740
94	76	733
95	77	726
96	77	720
97	77	713
98	77	707
99	77	701
100	78	695
101	78	689
102	78	683
103	78	678
104	78	672
105	79	667
106	79	662
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	632
113	80	627
114	80	623
115	81	618
116	81	613
117	81	609
118	81	604
119	81	600
120	82	596
121	82	591
122	82	587
123	82	583
124	82	579
125	83	575
126	83	571
127	83	567
128	83	564
129	83	560
130	83	557
131	84	553
132	84	549
133	84	546
134	84	542
135	84	539
136	85	536
137	85	532
138	85	529
139	85	526
140	85	523
141	86	519
142	86	516
143	86	513
144	86	510
145	86	508
146	87	505
147	87	502
148	87	499
149	87	496
150	87	493
151	87	490
152	88	488
153	88	485
154	88	482
155	88	480
156	88	477
157	89	475
158	89	473
159	89	470
160	89	467
161	89	465
162	90	463
163	90	460
164	90	459
165	90	456
166	91	454
167	91	452
168	91	450
169	91	448
170	91	445
171	92	443
172	92	441
173	92	439
174	92	437
175	92	435
176	93	433
177	93	431
178	93	429
179	93	427
180	94	425
181	94	423
182	94	421
183	94	419
184	94	417
185	95	415
186	95	414
187	95	412
188	95	410
189	95	408
190	96	406
191	96	405
192	96	403
193	96	401
194	96	399
195	97	398
196	97	396
197	97	394
198	97	393
199	97	391
200	98	390
201	98	388
202	98	386
203	98	385
204	98	383
205	99	382
206	99	380
207	99	379
